position,person,personID,start,end
President,Antonio Mascarenhas Monteiro,Q336265,1991-03-22,2001-03-22
President,Pedro Pires,Q107431,2001-03-22,2011-09-09
President,Jorge Carlos Fonseca,Q57517,2011-09-09,2021-11-09
President,José Maria Neves,Q57649,2021-11-09,
Prime Minister,Carlos Veiga,Q500378,1991-04-04,2000-07-29
Prime Minister,Gualberto do Rosário,Q500385,2000-07-29,2000-10-05
Prime Minister,Gualberto do Rosário,Q500385,2000-10-05,2001-02-01
Prime Minister,José Maria Neves,Q57649,2001-02-01,2016-04-22
Prime Minister,Ulisses Correia e Silva,Q23899522,2016-04-22,
Deputy Prime Minister,Cristina Fontes Lima,Q16269557,2011,2016
Deputy Prime Minister,Olavo Correia,Q88247927,2016-05,
Minister of Agriculture and the Environment,Gilberto Correia Carvalho Silva,Q108782678,2021-05-20,
Minister of Communities,Jorge Santos,Q114612816,2021-05-20,
Minister of Culture,Abraão Aníbal Barbosa Vicente,Q114612805,2021-05-20,
Minister of Defence,Janine Tatiana Santos Lélis,Q114612814,2021-05-20,
Minister of Education,Amadeu Cruz Dr. Amadeu Cruz,Q114612807,2021-05-20,
"Minister for Family, Inclusion and Social Development",Fernando Elísio Freire,Q108745687,2021-05-20,
Minister of Finance,Olavo Correia,Q88247927,2016-05,
Minister of Foreign Affairs,Rui Alberto de Figueiredo Soares,Q7378692,1999,2002
Minister of Foreign Affairs,José Brito,Q58252,2008,2011
Minister of Foreign Affairs,Jorge Tolentino,Q108292440,2014,2016
Minister of Foreign Affairs,Rui Alberto de Figueiredo Soares,Q7378692,2021-05-20,
"Minister of Industry, Commerce and Energy",Alexandre Dias Monteiro,Q114612806,2021-05-20,
Minister of Infrastructure,Eunice Silva,Q45965970,2016-06-22,
Minister of Internal Affairs,Paulo Augusto Costa Rocha,Q114612818,2021-05-20,
Minister of Justice,Joana Rosa,Q111732093,2021-05,
Minsiter of Health,Cristina Fontes Lima,Q16269557,2011,2016
Minsiter of Health,Arlindo Nascimento do Rosário,Q108782778,2021-05-20,
Minister of the Presidency of the Council of Ministers,Filomena Mendes Gonçalves,Q114612813,2021-05-20,
Minister of State Modernization and Public Administration,Edna Manuela Miranda de Oliveira,Q114612812,2021-05-20,
Minister of Tourism and Transport,Carlos Jorge Duarte Santos,Q114612809,2021-05-20,
Minister of Youth and Sport,Carlos Monteiro,Q114612811,2021-05-20,
