positionlabel,position
Ministra da Justiça,Q114612567
Ministra da Modernização do Estado e da Administração Pública,Q114612599
Ministra da Presidência do Conselho de Ministros e dos Assuntos Parlamentares,Q114612618
"Ministra das Infraestruturas, Ordenamento do Território e Habitação",Q114612653
"Ministra de Estado, da Defesa Nacional e Ministra da Coesão Territorial",Q114612644
Ministro Adjunto do Primeiro Ministro para a Juventude e Desporto,Q114612664
Ministro da Administração Interna,Q114612566
Ministro da Agricultura e Ambiente,Q114612673
Ministro da Cultura e das Indústrias Criativas e Ministro do Mar,Q114612561
Ministro da Educação,Q114612681
"Ministro da Indústria, Comércio e Energia",Q114612692
Ministro da Saúde,Q112034425
Ministro das Comunidades,Q114612700
"Ministro do Estado, da Família, Inclusão e Desenvolvimento Social",Q114612708
Ministro do Turismo e Transportes,Q114612717
"Ministro dos Negócios Estrangeiros, Cooperação e Integração Regional",Q18204364
