position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q18204364,Minister of Foreign Affairs,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q19058382,President of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,1975-07-08,,,,,,,,Q501713,list of presidents of Cape Verde
Q21295976,Member of the National Assembly of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q30100568,Prime Minister of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,1975-07-08,,,,,,Q114611325,Deputy Prime Minister of Cape Verde,Q510438,list of prime ministers of Cape Verde
Q30590183,Cape Verdean Ambassador to the United States,Q1011,Cape Verde,,,,,,,,,,,Q106498391,list of ambassadors of Cape Verde to the United States
Q106301457,Ambassador of Cape Verde to Angola,Q1011,Cape Verde,,,,,,,,,,,,
Q106314439,Ambassador of Cape Verde to Guinea-Bissau,Q1011,Cape Verde,,,,,,,,,,,,
Q106314442,Ambassador of Cape Verde to Brasil,Q1011,Cape Verde,,,,,,,,,,,,
Q106457919,Ambassador of Cape Verde to the People's Republic of China,Q1011,Cape Verde,,,,,,,,,,,,
Q112034425,Health Minister of Cape Verde,Q1011,Cape Verde,,,,,,,,,,,,
Q114611325,Deputy Prime Minister of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612561,Minister of Culture,,,Q1011,Cape Verde,,,,,,,,,,
Q114612566,Minister of Internal Affairs,,,Q1011,Cape Verde,,,,,,,,,,
Q114612567,Minister of Justice of Cape Verde,,,Q1011,Cape Verde,,,,,,,,,,
Q114612573,Minister of National Defense,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612599,Minister of State Modernization and Public Administration,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612618,Minister of the Presidency of the Council of Ministers,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612653,Minister of Infrastructure of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612664,Minister of Youth and Sport Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612673,Minister of Agriculture and the Environment of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612681,Minister of Education of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612692,"Minister of Industry, Commerce and Energy of Cape Verde",Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612700,Minister of Communities of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612708,"Minister for Family, Inclusion and Social Development",Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612717,Minister of Tourism and Transport of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114612948,Minister of Finance of Cape Verde,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,Q97159863,list of Ministers of Finance of Cape Verde
Q114927464,Minister of the Sea,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114927485,Minister of Territorial Cohesion,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
Q114927548,Minister of the Digital Economy,Q1011,Cape Verde,Q1011,Cape Verde,,,,,,,,,,
